,,Total,CNT,RNG,REG,CMP,PC,REST
fc_64_2,area,0.038064791012,0.0005896911498337777,0.0006759810983893858,0.013742255178297734,0.010732275180077142,0.0024036042054321875,0.009920984091237603
fc_64_2,leakage,0.0010058,2.2676218181818184e-05,2.3590581818181818e-05,0.0006143792145454546,0.00023297985454545457,9.180210909090909e-05,1.9669790545454546e-05
fc_64_2,dynamic,0.0268392,0.0007165935558552017,0.000544161230577741,0.023127450829581994,0.0010122117124779586,0.0012944951768488746,0.00014398701031328702
fc_64_5,area,0.091934072354,0.0014985560686364577,0.000680524990880129,0.03419359279916758,0.022428526765634497,0.00667111684348801,0.02646175482494176
fc_64_5,leakage,0.0025186,6.023557548579971e-05,2.4395408071748883e-05,0.0015838191629297458,0.0005424966517189836,0.00025487177877429,5.044729446935725e-05
fc_64_5,dynamic,0.0645565,0.0017503602401837926,0.000530447331453634,0.05608136951336675,0.0023870264745196323,0.0034597322263993317,0.00036068870692940684
fold0,area,9.317256248977285,0.12702727044377798,0.000759885808071838,3.043554046852713,1.5678602332311218,0.5722639777643236,4.005790832178016
fold0,leakage,0.2181182714285715,0.005144615836277851,4.7791717251607286e-05,0.14486011036132715,0.040153824408085535,0.02280854559850281,0.005085221229196995
fold0,dynamic,5.299752535714285,0.14523991167735828,0.0002231642232964797,4.687674642617606,0.15787907966713202,0.27073297744404334,0.03679306158823792
fold2,area,7.024215277011859,0.06173333399001938,0.0012594487305951367,2.9521883543396745,0.7527432800794251,0.29725986173270164,2.9607187219396502
fold2,leakage,0.38618956428571444,0.005593517848873669,0.00011793530864556408,0.312607815965888,0.03701130715503738,0.026638110832498264,0.00479410793270503
fold2,dynamic,4.475613621428574,0.0646089457183316,0.00031197405647887715,4.1857558518476825,0.0630860319518776,0.1256126843819035,0.0082131707615468
fold4,area,6.195894943468073,0.0316385464486652,0.001236384446478196,2.8884940141933684,0.4011784132274779,0.15765490154719944,2.715927706040217
fold4,leakage,0.7466656571428573,0.006644493090068646,0.00025608755554492273,0.6626339715048597,0.04154180345769226,0.030463850459584593,0.005059097912557467
fold4,dynamic,4.109560214285715,0.03059617561212866,0.0006676198557632242,3.956475296411166,0.0337305942656034,0.06643221445275668,0.003979851328255888
